Title;Building Name;Time Required;Cost To Unlock;Unlocked at Depth;Items Required
Oceanic;Crafting;30 Minutes;10;0;Lab Flask x 5000,Titanium Bar x 200,Zeolit x 100
Oxygen;Crafting;15 Minutes;10;0;Clean Water x 1
Oxygen concentrator;Crafting;10 Minutes;10;0;Zeolit x 100,Compressor x 10,Steel pipe x 1000
Pesticide nebulizer;Crafting;30 Minutes;10;0;Chlorine x 1000,Refined oil x 1500,Solar panel x 100
Pine seed;Crafting;30 Seconds;620000;0;DNA Flora capsule x 1,Flora defender x 1
Pine Tree;Greenhouse;30 Minutes;500000;0;Pine seed x 1,Water x 10
Portal;Crafting;6 Hours;10;0;Steel Bar x 1000,Polished emerald x 500,Circuits x 100
Portal blueprint;Crafting;10 Minutes;10;0;Artifact x 1,Tree x 5,Clean Water x 10
Portal piece I;Crafting;20 Minutes;10;0;Artifact x 1,Sulfuric acid x 10,Insulated Wire x 30
Portal piece II;Crafting;20 Minutes;10;0;Artifact x 1,Sulfuric acid x 10,Insulated Wire x 31
Portal piece III;Crafting;20 Minutes;10;0;Artifact x 1,Sulfuric acid x 10,Insulated Wire x 32
Primordial Soup;Chemistry;2 Minutes;10;0;Clean Water x 1,Diethyl Ether x 1,Coal x 100
Propellers;Crafting;5 Hours;10;0;Steel Bar x 25,Insulated Wire x 50,Aluminium Bar x 25
Pumpkin Torch;Crafting;10 Minutes;10;0;Carved Pumpkin x 10,Fire Sparkles x 1,Magic box x 1
Radar;Crafting;3 Hours;10;0;Magnet x 15,Optic fiber x 200,Motherboard x 20
Radiometer;Crafting;2 Hours;10;0;Electrical Engine x 5,Gold bar x 10000,Optic fiber x 300
RAM Module;Crafting;30 Minutes;10;0;Battery x 50,Iron bar x 20
Receiver Skeleton;Crafting;1 Hour;10;108;Copper Nail x 1000,Gear x 100,Steel Plate x 100
Research Beam;Crafting;30 Minutes;10;0;Lutetium Bar x 40,Chipset x 50,Accumulator x 100
Resonator I;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator II;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator III;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator IV;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator IX;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator V;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator VI;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator VII;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator VIII;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonator X;Crafting;1 Hour 30 Minutes;10;0;Silicon x 1000,Titanium Bar x 500,Wire x 10000
Resonators controller;Crafting;3 Hours;10;0;Circuits x 500,Motherboard x 300,Steel Plate x 1000
Rocket Engine;Crafting;1 Hour;10;0;Iron bar x 22250,Wire x 10000,Rubber x 90
Rocket LES;Crafting;1 Hour;10;0;Steel Bar x 1060,Aluminium Bar x 3200
Rocket Type A;Crafting;30 Minutes;472000;0;Steel Plate x 50,Optic fiber x 10,Solar panel x 1
Rocket Type B;Crafting;30 Minutes;477000;0;Moonstone x 1,Insulated Wire x 100,Titanium Bar x 10
Rocket Type C;Crafting;30 Minutes;478000;0;Red beryl x 1,Sapphire crystal glass x 100,Magnetite Bar x 1
S.A.S Module;Crafting;1 Hour;10;0;Green Laser x 7550,Glass x 1600,Silver Bar x 1600
Sandship beacon;Find/Buy;0 0;10;0;0 x 0
Satellite Dish;Crafting;1 Hour;10;0;Iron bar x 20,Copper Nail x 500,Wire x 50
Screen Module;Crafting;3 Hours;10;0;Iron bar x 50,Lamp x 50,Wire x 300
Seawater;Chemistry;30 Seconds;600000;0;Clean Water x 1,Sodium chloride x 10
Silicon;Ground;0 0;10;0;0 x 0
Skeleton;Crafting;20 Minutes;10;0;The Portal part I x 1,The Portal part II x 1,The Portal part III x 1
Sodium;Ground;0 0;10;0;0 x 0
Stage I;Crafting;3 Hours;10;0;Rubber x 45,Diamond Cutter x 225,Aluminium Bar x 1250
Stage I Winglet;Crafting;1 Hour;10;0;Gear x 100,Aluminium Bar x 8888,Steel Plate x 1111
Stage II;Crafting;3 Hours;10;0;Rubber x 45,Diamond Cutter x 225,Aluminium Bar x 1250
Stage II Winglet;Crafting;1 Hour;10;0;Gear x 85,Aluminium Bar x 6250,Steel Plate x 777
Stage III;Crafting;3 Hours;10;0;Rubber x 45,Diamond Cutter x 225,Aluminium Bar x 1250
Stone of Empathy;Crafting;5 Hours;10;0;Shards of Empathy x 100,Rubber x 3,Sulfur x 100
Stone of Entropy;Crafting;5 Hours;10;0;Shards of Entropy x 100,Rubber x 3,Sulfur x 100
Stone of Eternity;Crafting;5 Hours;10;0;Shards of Eternity x 100,Rubber x 3,Sulfur x 100
Stone of Kindness;Crafting;5 Hours;10;0;Shards of Kindness x 100,Rubber x 3,Sulfur x 100
Stone of Mistakes;Crafting;5 Hours;10;0;Shards of Mistakes x 100,Rubber x 3,Sulfur x 100
Stone of Radiation;Crafting;5 Hours;10;0;Shards of Radiation x 100,Rubber x 3,Sulfur x 100
Stone of Shine;Crafting;5 Hours;10;0;Shards of Shine x 100,Rubber x 3,Sulfur x 100
Stone of Strength;Crafting;5 Hours;10;0;Shards of Strength x 100,Rubber x 3,Sulfur x 100
Stone of Wisdom;Crafting;5 Hours;10;0;Shards of Wisdom x 100,Rubber x 3,Sulfur x 100
Sulfur;Ground;0 0;10;0;0 x 0
Superconductor;Crafting;3 Hours;10;108;Liquid nitrogen x 5,Iron bar x 4000,Copper bar x 5000
Tech inducer;Crafting;6 Hours;10;0;Steel Plate x 500,Insulated Wire x 1000,Motherboard x 50
Tesla Coil;Crafting;5 Hours;10;0;Amber x 100,Insulated Wire x 100,Graphite x 100
The Brain;Crafting;20 Minutes;10;0;Minkowski's computer x 1,The Heart x 1,Energy transducer x 1
The Heart;Crafting;20 Minutes;10;0;Artifact x 1,Ethanol x 10,Clean Water x 15
The Portal;Crafting;20 Minutes;10;0;Nano ram x 1,The Brain x 1,Skeleton x 1
The Portal part I;Crafting;20 Minutes;10;0;Antimatter x 1,Portal piece I x 1
The Portal part II;Crafting;20 Minutes;10;0;Antimatter II x 1,Portal piece II x 1
The Portal part III;Crafting;20 Minutes;10;0;Antimatter III x 1,Portal piece III x 1
Tree Seed;Find/Buy;0 0;10;0;0 x 0
Ultra Energy Absorber I;Crafting;3 Hours;10;0;Graphite x 10000,Insulated Wire x 500,Magnetite Bar x 16
Ultra Energy Absorber II;Crafting;3 Hours;10;0;Graphite x 10000,Insulated Wire x 500,Magnetite Bar x 16
Ultra Energy Absorber III;Crafting;3 Hours;10;0;Graphite x 10000,Insulated Wire x 500,Magnetite Bar x 16
Ultra Energy Absorber IV;Crafting;3 Hours;10;0;Graphite x 10000,Insulated Wire x 500,Magnetite Bar x 16
Winterfest globe;Jewel Crafting;2 Minutes;10;0;Polished emerald x 10,Glass x 1,Clean Water x 1
Winterfest toy;Jewel Crafting;2 Minutes;10;0;Polished Sapphire x 10,Glass x 1,Polished Diamond x 5
Zeolit;Chemistry;1 Minute;10;0;Clean Water x 1,Sodium x 10,Aluminium Bar x 2
DNA Fauna capsule ;Find/Buy;0 0;10;0;0 x 0
